player1_id,player_name_full,fga,fg_pct,xfg_pct,fgoe,epaa_total,epaa_per100,fg_pct_26,xfg_pct_26,fgoe_26
1630217,Desmond Bane,1018,0.484282908,0.443149988,0.04113292,114.7334304,11.2704745,0.478,0.443,0.035
1630230,Naji Marshall,712,0.508426966,0.483844822,0.024582144,37.5811782,5.278255365,0.526,0.489,0.037
1630245,Ayo Dosunmu,449,0.4922049,0.499450226,-0.007245327,1.337355253,0.297851949,0.512,0.495,0.017
1630314,Brandon Williams,188,0.521276596,0.454814411,0.066462185,8.949036627,4.760125866,0.467,0.496,-0.029
1630530,Trey Murphy III,839,0.454112038,0.460035644,-0.005923606,45.62666132,5.438219466,0.476,0.449,0.027
1630532,Franz Wagner,1161,0.4625323,0.464037658,-0.001505359,60.29045833,5.1929766,0.479,0.476,0.003
1630541,Moses Moody,568,0.433098592,0.434718746,-0.001620155,36.12303671,6.359689561,0.437,0.418,0.019
1630552,Jalen Johnson,543,0.49907919,0.529317487,-0.030238298,-8.853629999,-1.630502762,0.494,0.48,0.014
1630559,Austin Reaves,1037,0.459980714,0.416561049,0.043419665,135.4031907,13.05720258,0.511,0.445,0.066
1630567,Scottie Barnes,1063,0.445907808,0.480959919,-0.035052111,-18.5230083,-1.742521948,0.501,0.51,-0.009
1630572,Sandro Mamukelashvili,281,0.501779359,0.474377086,0.027402274,19.23068527,6.843660238,0.525,0.508,0.017
1630578,Alperen Sengun,1143,0.496062992,0.513153551,-0.017090559,26.55896378,2.323618878,0.495,0.508,-0.013
1630581,Josh Giddey,798,0.464912281,0.475124881,-0.0102126,16.84689365,2.111139556,0.462,0.466,-0.004
1630583,Santi Aldama,648,0.483024691,0.472695942,0.01032875,40.51526945,6.252356397,0.479,0.469,0.01
1630595,Cade Cunningham,1457,0.46945779,0.451522306,0.017935484,103.6460044,7.113658503,0.463,0.45,0.013
1630596,Evan Mobley,906,0.557395143,0.568239063,-0.010843919,12.24891778,1.35197768,0.513,0.519,-0.006
1630700,Dyson Daniels,923,0.492957746,0.507859597,-0.01490185,-4.52182801,-0.489905526,0.497,0.529,-0.032
1631094,Paolo Banchero,911,0.452250274,0.467019791,-0.014769517,28.54098357,3.132929042,0.452,0.492,-0.04
1631095,Jabari Smith Jr.,566,0.438162544,0.447467408,-0.009304864,23.64807851,4.178105744,0.444,0.464,-0.02
1631096,Chet Holmgren,341,0.48973607,0.507537539,-0.017801468,9.961985043,2.921403238,0.559,0.527,0.032
1631101,Shaedon Sharpe,1104,0.451992754,0.464618387,-0.012625634,13.66302133,1.237592512,0.456,0.46,-0.004
1631105,Jalen Duren,546,0.692307692,0.684548915,0.007758777,13.14108197,2.40679157,0.63,0.606,0.024
1631108,Max Christie,590,0.427118644,0.432707545,-0.005588901,23.5651036,3.994085357,0.467,0.432,0.035
1631109,Mark Williams,447,0.604026846,0.648693567,-0.044666721,-10.77069929,-2.409552414,0.648,0.649,-0.001
1631157,Ryan Rollins,271,0.487084871,0.458642296,0.028442575,16.05214685,5.923301422,0.468,0.432,0.036
1631170,Jaime Jaquez Jr.,462,0.461038961,0.475574295,-0.014535334,-0.904116981,-0.195696316,0.504,0.498,0.006
1631212,Peyton Watson,428,0.476635514,0.544857308,-0.068221794,-29.14157337,-6.808778825,0.496,0.492,0.004
1631221,Collin Gillespie,158,0.430379747,0.409101834,0.021277913,13.68620626,8.662155862,0.427,0.402,0.025
1641705,Victor Wembanyama,857,0.476079347,0.471060621,0.005018725,67.59552431,7.88745908,0.511,0.478,0.033
1641706,Brandon Miller,491,0.403258656,0.412009502,-0.008750846,33.11782128,6.744973784,0.415,0.431,-0.016
1641708,Amen Thompson,697,0.556671449,0.569266302,-0.012594853,-7.493224954,-1.075068143,0.504,0.572,-0.068
1641709,Ausar Thompson,460,0.534782609,0.596942484,-0.062159876,-33.68060125,-7.321869837,0.506,0.567,-0.061
1641710,Anthony Black,621,0.421900161,0.466981431,-0.04508127,-21.80779214,-3.511721761,0.461,0.475,-0.014
1641718,Keyonte George,919,0.390642002,0.396334065,-0.005692062,51.40183524,5.593235608,0.458,0.441,0.017
1641729,Brice Sensabaugh,599,0.459098497,0.405505014,0.053593484,88.67713646,14.8041964,0.448,0.438,0.01
1641739,Toumani Camara,716,0.458100559,0.48995111,-0.031850552,-7.238081279,-1.010905207,0.439,0.439,0
1641764,Brandin Podziemski,629,0.445151033,0.41824139,0.026909643,57.29212352,9.108445711,0.451,0.449,0.002
1641824,Matas Buzelis,555,0.454054054,0.506127868,-0.052073814,-20.84310358,-3.755514159,0.47,0.47,0
1642259,Alex Sarr,828,0.393719807,0.471039068,-0.077319261,-50.8823761,-6.145214505,0.496,0.492,0.004
1642263,Reed Sheppard,239,0.351464435,0.401786517,-0.050322082,8.057935793,3.371521252,0.427,0.408,0.019
1642264,Stephon Castle,988,0.428137652,0.483787661,-0.055650009,-60.86164382,-6.160085407,0.472,0.492,-0.02
1642270,Donovan Clingan,334,0.538922156,0.601342121,-0.062419966,-20.22698385,-6.05598319,0.525,0.543,-0.018
1642273,Kyshawn George,546,0.371794872,0.423343668,-0.051548796,-5.102757011,-0.934570881,0.439,0.444,-0.005
1642276,Kel'el Ware,464,0.55387931,0.604915666,-0.051036356,-28.40518687,-6.121807516,0.528,0.542,-0.014
1642281,Jaylon Tyson,149,0.429530201,0.481292121,-0.051761919,-1.519639531,-1.019892303,0.511,0.482,0.029
1642349,Ajay Mitchell,184,0.494565217,0.453837009,0.040728208,8.390324246,4.55995883,0.487,0.47,0.017
1642377,Jaylen Wells,675,0.425185185,0.434239977,-0.009054792,17.80695843,2.638067915,0.42,0.444,-0.024
